date,name,mean
2023-01-02,Field_1,0.23136366019065138
2023-01-02,Field_2,0.35573708942912596
2023-01-02,Field_1,0.23083802047758342
2023-01-02,Field_2,0.35570719112058113
2023-01-02,Field_3,0.3809317974223742
2023-01-02,Field_4,0.2533831323706773
2023-01-02,Field_5,0.17193876109941902
2023-01-04,Field_1,0.1739215129328265
2023-01-04,Field_2,0.2232787933072453
2023-01-04,Field_1,0.17240757363879916
2023-01-04,Field_2,0.22262324118283008
2023-01-04,Field_3,0.24099809959241397
2023-01-04,Field_4,0.2005513901644663
2023-01-04,Field_5,0.21736142006296313
2023-01-07,Field_1,0.2909966607283981
2023-01-07,Field_2,0.380465556799141
2023-01-07,Field_1,0.2914791809212911
2023-01-07,Field_2,0.3828318869879358
2023-01-07,Field_3,0.4320722383508156
2023-01-07,Field_4,0.3407792191766235
2023-01-07,Field_5,0.3853105369612403
2023-01-09,Field_1,0.25228447514339136
2023-01-09,Field_2,0.36142797899073686
2023-01-09,Field_1,0.260328042571241
2023-01-09,Field_2,0.3939941232828668
2023-01-09,Field_3,0.45277956849293194
2023-01-09,Field_4,0.3354116125057901
2023-01-09,Field_5,0.428625240372566
2023-01-12,Field_1,0.21234984411404312
2023-01-12,Field_2,0.28127679944831424
2023-01-12,Field_1,0.21438210058105084
2023-01-12,Field_2,0.28780328570691516
2023-01-12,Field_3,0.3547773491958045
2023-01-12,Field_4,0.28341463431874236
2023-01-12,Field_5,0.30061306967226087
2023-01-14,Field_1,0.22928047527980028
2023-01-14,Field_2,0.31016315162158853
2023-01-14,Field_1,0.23441234307217707
2023-01-14,Field_2,0.3307866999066923
2023-01-14,Field_3,0.4102693343264142
2023-01-14,Field_4,0.3084139474209583
2023-01-14,Field_5,0.3597358944781963
2023-01-17,Field_1,0.10775914837912333
2023-01-17,Field_2,0.1360671372786121
2023-01-17,Field_1,0.1963962141726424
2023-01-17,Field_2,0.2714717072937784
2023-01-17,Field_3,0.3301800842500873
2023-01-17,Field_4,-0.11227655390880062
2023-01-17,Field_5,-0.08952698658668716
2023-01-19,Field_1,0.2216643289486863
2023-01-19,Field_2,0.25411929707846626
2023-01-19,Field_1,0.223468736291547
2023-01-19,Field_2,0.2629502236735913
2023-01-19,Field_3,0.29758050917844237
2023-01-19,Field_4,0.2703763867173194
2023-01-19,Field_5,0.29632815995506046
2023-01-22,Field_1,0.22143586420305442
2023-01-22,Field_2,0.2586852096839967
2023-01-22,Field_1,0.24363097307842263
2023-01-22,Field_2,0.29741078944049615
2023-01-22,Field_3,0.3290666540073331
2023-01-22,Field_4,0.30535047816808164
2023-01-22,Field_5,0.3551595782259369
2023-01-24,Field_1,0.2131817942389192
2023-01-24,Field_2,0.2210183754288158
2023-01-24,Field_1,0.21582553507051178
2023-01-24,Field_2,0.22477323750789
2023-01-24,Field_3,0.2757921568782656
2023-01-24,Field_4,0.20600368747127146
2023-01-24,Field_5,0.31871123719952177
2023-01-27,Field_1,0.24304234549065465
2023-01-27,Field_2,0.27501667275456465
2023-01-27,Field_1,0.2673998175018675
2023-01-27,Field_2,0.31559404782634737
2023-01-27,Field_3,0.3395779369895655
2023-01-27,Field_4,0.31367217148195115
2023-01-27,Field_5,0.3631859718938921
2023-01-29,Field_1,0.2024128995821179
2023-01-29,Field_2,0.2491074780823894
2023-01-29,Field_1,0.22268171060828704
2023-01-29,Field_2,0.3008023747076869
2023-01-29,Field_3,0.34436965601909036
2023-01-29,Field_4,0.30972608120602757
2023-01-29,Field_5,0.3808189713562887
2023-01-29,Field_1,0.23011639537534864
